adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Saint Bernard,PH0806412,23.1577,1.9228,8.3029,19.9947,26.3206,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,0,1.0,1773,1773,411.0,Saint Bernard,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,86.6626,4290,876,348253.0,187499.1,110696.5,20.46,10,2,0,0,0,9,0.0
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Basay,PH0704605,33.4247,3.9828,11.9156,26.8731,39.9764,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,1,0.9167,1922,1762,589.0,Basay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,168.1115,5894,709,344796.1,172486.0,89821.3,11.43,12,2,0,0,1,11,0.0833
Region V (Bicol Region),PH05,Albay,PH05005,Jovellar,PH0500505,36.0344,2.9059,8.0641,31.2543,40.8145,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,7,0,1.0,1758,1758,633.0,Jovellar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,80.585,5673,590,263208.9,118837.1,51679.2,21.82,7,1,0,0,0,7,0.0
Region VII (Central Visayas),PH07,Bohol,PH07012,Dagohoy,PH0701217,22.149,3.7463,16.9142,15.9863,28.3117,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,3,0.8235,2135,1758,389.0,Dagohoy,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,92.5007,6306,827,417093.1,212398.5,107726.1,23.08,17,2,0,3,0,14,0.1765
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Giporlos,PH0802608,37.1642,1.2008,3.2312,35.1889,39.1396,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,4,0,1.0,1754,1754,652.0,Giporlos,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,93.148,4916,754,252076.3,138476.3,84908.7,18.83,4,1,0,0,0,4,0.0
Region VI (Western Visayas),PH06,Antique,PH06006,Libertad,PH0600610,19.0176,1.5555,8.1793,16.4588,21.5764,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,1,0.9524,1833,1746,332.0,Libertad,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,95.0842,5651,827,382047.9,205008.3,124218.2,19.28,21,2,1,0,0,20,0.0476
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Silago,PH0806416,14.4069,2.8284,19.6324,9.7542,19.0597,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,0,1.0,1728,1728,249.0,Silago,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,169.2299,4430,846,259322.1,149938.0,94562.4,10.21,8,4,0,0,0,8,0.0
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Matungao,PH1003513,49.9385,3.2259,6.4597,44.6319,55.2451,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,4,0,1.0,1727,1727,862.0,Matungao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,34.7464,2957,843,195555.8,148984.6,95841.4,49.7,4,2,0,0,0,4,0.0
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,General Macarthur,PH0802607,37.1932,1.2008,3.2286,35.2179,39.1686,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1725,1725,642.0,General MacArthur,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,182.9908,5051,746,262103.6,139518.1,83323.8,9.43,10,4,0,0,0,10,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Special Geographic Area,PH19099,Special Geographic Area - Midsayap I,PH1909903,,,,,,,,,,no_poverty_table_match,8,0,1.0,1719,1719,,,,46.2604,3130,731,190366.8,133055.5,73146.7,37.16,8,1,0,0,0,8,0.0
Region VII (Central Visayas),PH07,Cebu,PH07022,Ronda,PH0702239,21.2583,2.8723,13.5113,16.5334,25.9832,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,0,1.0,1709,1709,363.0,Ronda,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,44.3867,4385,731,300336.5,166257.5,94177.6,38.5,17,2,0,0,0,16,0.0
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Quirino (Angkaki),PH0102915,10.5761,2.4,22.6927,6.6281,14.5241,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,1708,1708,181.0,Quirino,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,182.4174,6301,479,374787.4,174985.1,73462.7,9.36,12,3,0,0,0,12,0.0
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Allen,PH0804801,19.1624,3.6665,19.1337,13.131,25.1937,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,1,0.9,1897,1707,327.0,Allen,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,44.4676,7829,568,486343.7,197157.7,89419.0,42.66,11,4,1,0,0,9,0.1
Region VII (Central Visayas),PH07,Bohol,PH07012,Corella,PH0701215,9.8333,2.1629,21.9954,6.2754,13.3912,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,1,0.8889,1911,1699,167.0,Corella,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,34.7593,4852,924,347359.3,218037.3,135303.3,54.98,9,2,0,0,1,8,0.1111
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Pata,PH1906610,26.5226,6.3189,23.8244,16.1281,36.9172,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,5,0,1.0,1698,1698,450.0,Pata,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,57.9787,2540,858,122357.2,98377.2,61575.8,29.29,5,2,0,0,0,5,0.0
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Biliran,PH0807802,13.5018,2.8298,20.959,8.8467,18.1569,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,5,1,0.8,2117,1694,229.0,Biliran,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,61.7756,7135,937,494482.0,266055.8,158137.6,34.27,5,2,0,1,0,4,0.2
Cordillera Administrative Region (CAR),PH14,Ifugao,PH14027,Asipulo,PH1402711,12.3267,3.3157,26.8987,6.8723,17.781,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,0,1.0,1687,1687,208.0,Asipulo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,205.3994,5668,401,284816.3,132538.1,48783.8,8.21,20,6,0,0,0,20,0.0
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,San Francisco (Anao-Aon),PH1606719,13.443,2.071,15.4057,10.0362,16.8498,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,1681,1681,226.0,San Francisco (Anao-Aon),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,55.701,4157,842,276638.5,161350.6,99733.6,30.18,11,1,0,0,0,11,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Butig,PH1903607,22.2597,4.526,20.3329,14.8143,29.705,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,4,1,0.75,2231,1673,372.0,Butig,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,470.2725,3914,1023,267976.9,183925.6,105108.2,4.74,4,2,0,1,0,3,0.25
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Kawayan,PH0807806,13.2852,2.2834,17.1876,9.529,17.0415,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,0,1.0,1664,1664,221.0,Kawayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,70.1998,7218,654,396550.3,163601.6,90897.8,23.7,8,2,0,0,0,8,0.0
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Talisayan,PH1004325,28.5226,2.4123,8.4574,24.5544,32.4908,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,1,0.95,1751,1663,474.0,Talisayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,56.045,5178,775,339374.2,173750.3,101434.3,31.24,20,2,0,1,0,19,0.05
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Sulat,PH0802622,29.1697,3.5676,12.2306,23.301,35.0385,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,7,1,0.8571,1936,1659,484.0,Sulat,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,127.6409,5111,880,319495.1,179164.5,104766.1,15.17,7,2,0,1,0,6,0.1429
Mimaropa Region,PH17,Romblon,PH17059,Santa Fe,PH1705915,42.1473,5.6713,13.456,32.8179,51.4766,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,1659,1659,699.0,Santa Fe,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,56.526,5370,667,326552.6,160529.0,87885.1,29.35,12,2,0,0,0,12,0.0
Region VI (Western Visayas),PH06,Iloilo,PH06030,Bingawan,PH0603010,19.1444,2.4509,12.8022,15.1127,23.1761,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,7,0,1.0,1655,1655,317.0,Bingawan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,57.1891,5292,706,326070.1,170499.7,97925.3,28.94,7,2,0,0,0,7,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Guindulungan,PH1908825,60.4677,3.6549,6.0443,54.4554,66.4799,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,6,2,0.6667,2474,1649,997.0,Guindulungan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,113.291,3964,1144,224462.1,177384.8,108266.0,21.84,6,3,0,2,0,4,0.3333
Region IV-A (Calabarzon),PH04,Quezon,PH04056,General Nakar,PH0405617,11.7977,1.5978,13.5434,9.1693,14.4261,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1648,1648,194.0,General Nakar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,1321.994,6502,449,420232.0,184493.2,77083.7,1.25,10,2,0,0,0,10,0.0
Region VI (Western Visayas),PH06,Antique,PH06006,Tibiao,PH0600617,19.7644,2.0555,10.4001,16.3831,23.1458,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,1,0.9524,1727,1645,325.0,Tibiao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,98.9225,5011,712,403293.8,214289.0,117412.9,17.46,21,2,0,1,0,20,0.0476
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Salcedo (Baugen),PH0102916,7.8148,1.4484,18.5347,5.4321,10.1975,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,0,1.0,1644,1644,128.0,Salcedo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,82.9661,6022,496,446633.1,206114.2,88165.5,19.82,9,3,0,0,0,9,0.0
Region VI (Western Visayas),PH06,Capiz,PH06019,Dao,PH0601902,13.2298,1.7396,13.1493,10.3682,16.0915,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,18,8,0.5556,2958,1643,217.0,Dao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,74.7919,8175,1325,531610.9,289759.6,169782.8,39.55,18,3,2,6,0,10,0.4444
Mimaropa Region,PH17,Palawan,PH17053,Araceli,PH1705303,24.2639,2.772,11.4244,19.7039,28.8238,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,0,1.0,1638,1638,397.0,Araceli,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,174.1191,5072,690,268056.9,136063.6,72959.1,9.41,16,3,0,0,0,16,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Tapul,PH1906614,22.7422,3.1577,13.8847,17.5478,27.9366,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,5,0,1.0,1636,1636,372.0,Tapul,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,56.29,2564,741,118203.0,93016.4,53767.4,29.06,5,2,0,0,0,5,0.0
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Almeria,PH0807801,10.3427,2.8562,27.6159,5.6442,15.0411,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,7,0,1.0,1626,1626,168.0,Almeria,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,50.7528,5780,717,362724.1,186135.9,117067.1,32.04,7,2,0,0,0,7,0.0
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Pilar,PH1606716,13.9676,2.1872,15.6594,10.3696,17.5656,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,3,0.7273,2229,1621,226.0,Pilar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,74.4246,5077,1061,264463.1,158483.7,91773.1,29.95,11,1,1,1,1,8,0.2727
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Carmen,PH1606806,18.3294,3.2725,17.8536,12.9462,23.7126,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,1621,1621,297.0,Carmen,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,158.1661,3884,827,279352.1,168972.6,103659.0,10.25,11,1,0,0,0,11,0.0
Region II (Cagayan Valley),PH02,Isabela,PH02031,Palanan,PH0203121,16.9813,3.4019,20.0333,11.3851,22.5774,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,1,0.9474,1706,1616,274.0,Palanan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,374.3852,5931,337,341766.8,152824.2,51277.7,4.56,19,2,1,0,0,18,0.0526
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Pakil,PH0403420,13.0929,3.905,29.8254,6.6692,19.5166,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,1,0.9167,1763,1616,212.0,Pakil,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,47.4644,6523,549,506591.9,227515.8,101129.5,37.14,17,3,1,0,0,11,0.0833
Mimaropa Region,PH17,Palawan,PH17053,Magsaysay,PH1705314,18.0579,3.5394,19.6,12.2356,23.8801,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,1610,1610,291.0,Magsaysay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,47.5316,4141,715,262715.8,150657.1,83014.3,33.87,12,1,0,0,0,12,0.0
Region VI (Western Visayas),PH06,Antique,PH06006,San Remigio,PH0600614,33.4582,2.2807,6.8166,29.7064,37.21,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,30,1,0.9667,1662,1607,538.0,San Remigio,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,394.655,7271,540,401536.0,153092.9,77039.7,4.21,30,2,0,1,0,29,0.0333
Cordillera Administrative Region (CAR),PH14,Abra,PH14001,La Paz,PH1400108,12.7448,1.1794,9.254,10.8047,14.6849,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,7,1,0.8571,1875,1607,205.0,La Paz,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,52.6226,7463,548,495778.8,228671.9,98570.5,35.63,7,2,1,0,0,6,0.1429
Region VI (Western Visayas),PH06,Antique,PH06006,Laua-an,PH0600609,22.0026,1.9043,8.6547,18.8701,25.1351,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,15,1,0.9333,1719,1604,353.0,Laua-an,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,159.858,4913,800,400592.1,226271.1,145601.7,10.75,16,2,0,0,1,14,0.0667
Region III (Central Luzon),PH03,Aurora,PH03077,Dilasag,PH0307703,15.3086,0.9187,6.0012,13.7973,16.8198,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1602,1602,245.0,Dilasag,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,495.4801,8459,386,500025.3,192025.4,76126.9,3.23,10,1,0,0,0,10,0.0
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Calamba,PH1004204,27.9551,2.5634,9.1697,23.7383,32.1719,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,2,0.9231,1733,1600,447.0,Calamba,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,64.0757,2499,944,276405.9,231123.4,157962.5,27.05,28,4,1,0,1,24,0.0769
Region XIII (Caraga),PH16,Dinagat Islands,PH16085,Dinagat,PH1608503,32.753,3.1143,9.5085,27.6299,37.8761,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,1,0.9167,1724,1580,517.0,Dinagat,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,27.961,4303,831,239892.5,140578.3,83584.0,61.66,12,3,1,0,0,11,0.0833
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,San Esteban,PH0102918,6.0067,1.5421,25.6727,3.47,8.5434,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1578,1578,95.0,San Esteban,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,17.4131,5114,593,357636.3,198514.1,100141.7,90.62,11,2,0,0,0,10,0.0
Mimaropa Region,PH17,Romblon,PH17059,San Agustin,PH1705911,36.581,3.0373,8.3029,31.5847,41.5773,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,0,1.0,1576,1576,577.0,San Agustin,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,102.1828,5086,614,334581.3,167064.9,87997.2,15.42,17,2,0,0,0,17,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Panglima Estino (New Panamao),PH1906616,29.3697,5.8737,19.9991,19.7075,39.0319,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,0,1.0,1573,1573,462.0,Panglima Estino (New Panamao),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,33.451,2480,734,140267.8,107492.9,60652.0,47.02,9,1,0,0,0,9,0.0
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,San Policarpo,PH0802621,36.3416,2.4976,6.8726,32.233,40.4501,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,0,1.0,1569,1569,570.0,San Policarpo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,70.4063,5163,595,246313.7,115984.8,65715.7,22.28,9,5,0,0,0,9,0.0
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Sapang Dalaga,PH1004213,37.9638,2.3606,6.2181,34.0805,41.847,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,6,0,1.0,1569,1569,596.0,Sapang Dalaga,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,121.7521,2639,715,181648.3,137380.2,83142.5,12.89,6,2,0,0,0,6,0.0
Region VII (Central Visayas),PH07,Cebu,PH07022,Tudela,PH0702253,18.9234,3.6044,19.0475,12.9941,24.8527,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,1,0.875,1790,1566,296.0,Tudela,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,33.1247,5092,802,279646.5,153698.5,89260.7,54.04,8,3,0,1,0,7,0.125
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Suyo,PH0102932,8.8158,2.0332,23.0635,5.4711,12.1604,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1561,1561,138.0,Suyo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,163.6288,6211,444,386284.2,163695.8,64349.1,9.54,10,2,0,0,0,10,0.0
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Mutia,PH0907208,44.7323,4.485,10.0262,37.3546,52.1101,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,1559,1559,697.0,Mutia,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,88.5036,2797,679,196084.1,142339.9,84171.8,17.62,11,1,0,0,0,11,0.0
Region VI (Western Visayas),PH06,Antique,PH06006,Anini-y,PH0600601,16.738,1.812,10.8255,13.7573,19.7186,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,1,0.875,1781,1558,261.0,Anini-Y,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,50.7628,5125,758,361250.0,194644.2,108110.4,35.08,9,2,0,0,1,7,0.125
Region VII (Central Visayas),PH07,Bohol,PH07012,San Isidro,PH0701237,20.6502,1.9045,9.2225,17.5173,23.783,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,15,0,1.0,1552,1552,320.0,San Isidro,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,59.2483,4306,646,280276.9,149810.1,78711.9,26.19,15,2,0,0,0,15,0.0
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Llorente,PH0802613,36.63,1.0218,2.7894,34.9492,38.3108,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,8,1,0.875,1764,1544,566.0,Llorente,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,285.7594,6360,697,335382.8,155272.9,89845.9,6.17,8,3,1,0,0,7,0.125
Region VII (Central Visayas),PH07,Bohol,PH07012,Sevilla,PH0701239,21.4071,2.0367,9.514,18.0568,24.7574,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,5,0,1.0,1543,1543,330.0,Sevilla,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,55.7771,4343,603,292531.3,157936.8,81609.5,27.66,5,2,0,0,0,5,0.0
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,San Julian,PH0802620,31.8981,1.8363,5.7568,28.8773,34.9188,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,5,0,1.0,1543,1543,492.0,San Julian,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,140.3137,4480,706,246572.7,129094.8,76278.3,11.0,5,2,0,0,0,5,0.0
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Matag-ob,PH0803733,26.1286,2.6829,10.2681,21.7152,30.542,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,1540,1540,402.0,Matag-ob,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,70.1997,5816,555,323657.9,146708.9,76027.3,21.94,10,4,0,0,0,10,0.0
Cordillera Administrative Region (CAR),PH14,Mountain Province,PH14044,Natonin,PH1404405,33.7821,3.1884,9.4382,28.5372,39.027,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,1,0.9412,1604,1510,510.0,Natonin,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,359.3126,6855,347,286478.5,119975.1,43047.6,4.46,17,4,1,0,0,16,0.0588
