adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region VII (Central Visayas),PH07,Cebu,PH07022,Samboan,PH0702240,51.9041,6296,2019,816,437616.2,222944.6,117940.8,38.9,18,2,17,0,0,0,0,17,0.0,1.0,2019
Region V (Bicol Region),PH05,Masbate,PH05041,Mandaon,PH0504110,321.944,8524,2881,996,493492.5,245585.9,117202.3,8.95,10,2,10,3,1,1,1,7,0.3,0.7,2017
Cordillera Administrative Region (CAR),PH14,Ifugao,PH14027,Tinoc,PH1402710,229.2199,5890,2006,514,293254.3,154499.0,59963.7,8.75,17,2,17,0,0,0,0,17,0.0,1.0,2006
Region I (Ilocos Region),PH01,La Union,PH01033,Sudipen,PH0103319,89.8629,8835,2451,822,557088.6,268261.9,120118.2,27.27,11,2,11,2,0,1,1,9,0.1818,0.8182,2005
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,San Isidro,PH1606720,52.1719,4769,2400,1307,257717.1,181708.6,117655.7,46.0,6,1,6,1,0,0,1,5,0.1667,0.8333,2000
Region III (Central Luzon),PH03,Aurora,PH03077,Casiguran,PH0307702,420.115,11105,2102,495,622092.2,218930.2,85566.2,5.0,21,3,19,1,1,0,0,18,0.0526,0.9474,1991
Region VI (Western Visayas),PH06,Iloilo,PH06030,San Rafael,PH0603042,84.0808,6942,2189,956,456443.1,256345.6,157485.4,26.03,12,2,11,1,0,0,1,10,0.0909,0.9091,1990
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Tomas Oppus,PH0806418,59.3027,5695,2273,1120,361195.4,215672.7,140277.5,38.33,8,2,8,1,0,0,1,7,0.125,0.875,1989
Region III (Central Luzon),PH03,Pampanga,PH03054,Santa Rita,PH0305420,21.6432,20759,7274,3154,1471758.7,910215.8,508682.2,336.09,13,1,11,8,0,8,0,3,0.7273,0.2727,1984
Cordillera Administrative Region (CAR),PH14,Apayao,PH14081,Santa Marcela,PH1408107,64.9152,8301,2285,696,496041.5,238368.6,107917.0,35.2,15,2,15,2,2,0,0,13,0.1333,0.8667,1980
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Madalum,PH1903613,80.7214,3199,1980,923,231669.3,177102.1,103815.6,24.53,3,2,3,0,0,0,0,3,0.0,1.0,1980
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Cortes,PH1606808,120.1499,6026,2517,1274,372407.7,221980.0,137292.2,20.95,14,3,14,3,1,1,1,11,0.2143,0.7857,1978
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Malimono,PH1606715,98.5516,5174,2101,958,328505.3,185662.5,104214.4,21.32,17,4,17,1,1,0,0,16,0.0588,0.9412,1977
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Sison,PH1606722,65.2208,5230,1977,911,305552.1,169017.7,101022.2,30.31,14,2,13,0,0,0,0,13,0.0,1.0,1977
Region VI (Western Visayas),PH06,Iloilo,PH06030,Tubungan,PH0603046,90.3095,8536,2369,960,474743.1,217451.7,117577.9,26.23,13,2,12,2,0,1,1,10,0.1667,0.8333,1974
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Babatngon,PH0803705,134.3998,6375,2629,1243,400817.6,242302.3,154414.3,19.56,8,2,8,2,1,0,1,6,0.25,0.75,1972
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Lanuza,PH1606810,317.332,4611,1972,1001,294152.9,181392.6,115188.2,6.21,14,1,14,0,0,0,0,14,0.0,1.0,1972
Region V (Bicol Region),PH05,Sorsogon,PH05062,Prieto Diaz,PH0506214,56.2064,7623,2044,655,398957.5,162090.8,69590.8,36.37,27,3,27,1,1,0,0,26,0.037,0.963,1968
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Burgos,PH0102904,50.9276,6465,1966,648,433758.2,225225.7,103318.4,38.6,11,2,10,0,0,0,0,10,0.0,1.0,1966
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Galimuyod,PH0102909,34.1199,6056,1966,712,437556.4,238521.1,118183.2,57.62,5,2,5,0,0,0,0,5,0.0,1.0,1966
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Pantao Ragat,PH1003516,49.9115,3194,1963,1036,217084.0,169373.6,112089.0,39.33,4,1,4,0,0,0,0,4,0.0,1.0,1963
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,San Ildefonso,PH0102919,11.7422,5972,1960,795,421168.8,268377.6,163821.2,166.92,6,2,4,0,0,0,0,4,0.0,1.0,1960
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Malitbog,PH0806409,85.2226,5340,2226,1149,362502.4,224618.5,147366.7,26.12,8,1,8,1,0,0,1,7,0.125,0.875,1948
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Sapad,PH1003519,117.4046,5915,3111,1246,330788.9,230602.2,129131.6,26.5,9,2,8,3,0,3,0,5,0.375,0.625,1944
Region V (Bicol Region),PH05,Sorsogon,PH05062,Juban,PH0506210,122.3437,7592,1935,677,481262.0,192035.1,90043.9,15.82,28,3,28,0,0,0,0,28,0.0,1.0,1935
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Pualas,PH1903623,66.5223,3212,1932,858,237524.8,179237.4,100937.0,29.04,2,2,2,0,0,0,0,2,0.0,1.0,1932
Cordillera Administrative Region (CAR),PH14,Apayao,PH14081,Pudtol,PH1408106,302.2614,8052,1929,592,535790.0,225069.6,97048.5,6.38,26,4,26,0,0,0,0,26,0.0,1.0,1929
Region III (Central Luzon),PH03,Tarlac,PH03069,Anao,PH0306901,25.4382,7648,2157,822,458743.6,243905.6,131862.3,84.79,9,2,9,1,0,0,1,8,0.1111,0.8889,1917
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Quinapondan,PH0802618,85.6833,5106,1914,831,275321.6,153132.8,90713.8,22.34,11,3,11,0,0,0,0,11,0.0,1.0,1914
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Tugaya,PH1903629,31.1417,3231,1910,881,251908.9,181088.9,99899.3,61.33,3,2,3,0,0,0,0,3,0.0,1.0,1910
Region VI (Western Visayas),PH06,Aklan,PH06004,Lezo,PH0600408,19.8262,6116,2223,1089,476170.9,272236.2,169251.6,112.12,7,2,7,1,1,0,0,6,0.1429,0.8571,1905
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Madamba,PH1903614,99.7982,3232,1903,823,212197.4,158895.9,87592.5,19.07,3,2,3,0,0,0,0,3,0.0,1.0,1903
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Agdangan,PH0405601,35.5869,5193,1899,784,297486.7,162464.5,85570.5,53.36,15,3,15,0,0,0,0,15,0.0,1.0,1899
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Lugus,PH1906617,36.7819,3055,1894,920,162359.0,125720.6,78369.7,51.49,5,2,5,0,0,0,0,5,0.0,1.0,1894
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Sablan,PH1401112,101.5543,7206,2065,713,457867.6,207394.4,92451.5,20.33,12,1,12,1,0,1,0,11,0.0833,0.9167,1893
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Kapai,PH1903610,81.8826,2952,1892,909,151998.3,124524.8,82055.6,23.11,4,2,4,0,0,0,0,4,0.0,1.0,1892
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Ternate,PH0402121,46.5186,7152,2364,1063,501448.4,280450.6,165670.4,50.82,5,3,5,1,1,0,0,4,0.2,0.8,1891
Region V (Bicol Region),PH05,Masbate,PH05041,Esperanza,PH0504109,70.3113,6579,2015,725,308741.4,147045.4,71600.7,28.66,16,1,16,1,0,0,1,15,0.0625,0.9375,1889
Region X (Northern Mindanao),PH10,Camiguin,PH10018,Mahinog,PH1001803,30.5755,4661,1870,919,318530.8,189982.1,118631.8,61.16,7,1,7,0,0,0,0,7,0.0,1.0,1870
Cordillera Administrative Region (CAR),PH14,Apayao,PH14081,Kabugao (Capital),PH1408104,989.6792,9384,1866,430,466995.0,173900.1,64880.6,1.89,25,4,25,0,0,0,0,25,0.0,1.0,1866
Region VI (Western Visayas),PH06,Aklan,PH06004,Tangalan,PH0600417,67.956,5254,1865,842,377611.2,198394.9,114378.1,27.44,6,1,6,0,0,0,0,6,0.0,1.0,1865
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Tabango,PH0803745,129.9723,10571,2418,762,526519.6,207393.9,94178.8,18.6,13,4,13,3,1,2,0,10,0.2308,0.7692,1860
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,Zumarraga,PH0806023,35.2575,5068,2231,1041,271857.0,166921.5,98557.3,63.28,6,1,6,1,1,0,0,5,0.1667,0.8333,1859
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Taft,PH0802623,242.8926,5741,2124,911,347405.5,188497.9,109894.2,8.74,8,4,8,1,1,0,0,7,0.125,0.875,1858
Region VII (Central Visayas),PH07,Cebu,PH07022,Boljoon,PH0702212,82.2272,5764,1850,781,338949.5,179345.4,108633.1,22.5,13,2,13,0,0,0,0,13,0.0,1.0,1850
Region VII (Central Visayas),PH07,Siquijor,PH07061,San Juan,PH0706105,40.2432,5320,2110,1028,376952.1,224294.3,135449.1,52.43,8,2,8,1,0,1,0,7,0.125,0.875,1846
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Datu Blah T. Sinsuat,PH1908730,274.981,2962,1842,776,138026.7,101671.1,54195.0,6.7,12,2,12,0,0,0,0,12,0.0,1.0,1842
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,Tuburan,PH1900707,44.1335,2896,2021,1156,191786.4,158618.8,106547.9,45.79,11,2,11,1,0,0,1,10,0.0909,0.9091,1837
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,Burgos,PH0102806,137.1043,8527,2445,768,616746.1,297445.4,137057.1,17.83,4,1,4,1,0,0,1,3,0.25,0.75,1834
Region VI (Western Visayas),PH06,Aklan,PH06004,Balete,PH0600402,118.3552,4997,1828,764,384040.0,201945.7,112739.6,15.45,12,2,11,0,0,0,0,11,0.0,1.0,1828
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Dolores,PH0802606,309.8315,11030,3952,1791,609389.5,331870.7,206328.0,12.76,15,5,13,7,3,3,1,6,0.5385,0.4615,1824
Cordillera Administrative Region (CAR),PH14,Abra,PH14001,Tayum,PH1400124,48.3659,7197,1823,550,472163.7,212783.9,91100.8,37.69,3,1,3,0,0,0,0,3,0.0,1.0,1823
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,San Ricardo,PH0806415,37.9846,3948,1814,973,223949.2,139865.8,87995.6,47.76,4,1,4,0,0,0,0,4,0.0,1.0,1814
Cordillera Administrative Region (CAR),PH14,Abra,PH14001,Pidigan,PH1400118,54.8993,5913,1814,610,408106.5,213772.3,100592.9,33.04,1,1,1,0,0,0,0,1,0.0,1.0,1814
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Magsaysay,PH1003511,89.8716,3370,1811,804,199181.4,144857.5,88972.1,20.15,10,1,10,0,0,0,0,10,0.0,1.0,1811
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Ganassi,PH1903609,21.4285,3173,1809,778,257976.0,184955.7,94948.4,84.42,3,3,3,0,0,0,0,3,0.0,1.0,1809
Region V (Bicol Region),PH05,Sorsogon,PH05062,Barcelona,PH0506202,59.6551,7095,1803,677,412497.8,170528.1,83586.2,30.22,27,2,27,0,0,0,0,27,0.0,1.0,1803
Region XIII (Caraga),PH16,Dinagat Islands,PH16085,Libjo (Albor),PH1608504,186.683,5123,2099,887,290902.2,166363.7,91775.0,11.24,15,3,14,2,1,0,1,12,0.1429,0.8571,1799
Mimaropa Region,PH17,Marinduque,PH17040,Mogpog,PH1704004,99.2426,6119,2098,837,457284.9,225190.6,114597.2,21.14,7,1,7,1,0,1,0,6,0.1429,0.8571,1798
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,San Jorge,PH0806025,268.5526,5412,2146,919,275753.8,154448.2,86302.6,7.99,6,2,6,1,1,0,0,5,0.1667,0.8333,1788
Region VII (Central Visayas),PH07,Siquijor,PH07061,Larena,PH0706102,41.0844,4457,1783,850,365644.7,219424.5,137246.8,43.4,12,3,12,0,0,0,0,12,0.0,1.0,1783
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Lawaan,PH0802612,145.6179,5871,2225,1087,347137.7,207429.5,133561.0,15.28,5,2,5,1,0,0,1,4,0.2,0.8,1780
Region VII (Central Visayas),PH07,Cebu,PH07022,Alcoy,PH0702202,67.4299,4707,1775,859,345086.6,218164.9,150906.6,26.32,10,2,10,0,0,0,0,10,0.0,1.0,1775
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Saint Bernard,PH0806412,86.6626,4290,1773,876,348253.0,187499.1,110696.5,20.46,10,2,9,0,0,0,0,9,0.0,1.0,1773
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Basay,PH0704605,168.1115,5894,1922,709,344796.1,172486.0,89821.3,11.43,12,2,12,1,0,0,1,11,0.0833,0.9167,1762
Region V (Bicol Region),PH05,Albay,PH05005,Jovellar,PH0500505,80.585,5673,1758,590,263208.9,118837.1,51679.2,21.82,7,1,7,0,0,0,0,7,0.0,1.0,1758
Region VII (Central Visayas),PH07,Bohol,PH07012,Dagohoy,PH0701217,92.5007,6306,2135,827,417093.1,212398.5,107726.1,23.08,17,2,17,3,0,3,0,14,0.1765,0.8235,1758
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Giporlos,PH0802608,93.148,4916,1754,754,252076.3,138476.3,84908.7,18.83,4,1,4,0,0,0,0,4,0.0,1.0,1754
Region VI (Western Visayas),PH06,Antique,PH06006,Libertad,PH0600610,95.0842,5651,1833,827,382047.9,205008.3,124218.2,19.28,21,2,21,1,1,0,0,20,0.0476,0.9524,1746
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Silago,PH0806416,169.2299,4430,1728,846,259322.1,149938.0,94562.4,10.21,8,4,8,0,0,0,0,8,0.0,1.0,1728
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Matungao,PH1003513,34.7464,2957,1727,843,195555.8,148984.6,95841.4,49.7,4,2,4,0,0,0,0,4,0.0,1.0,1727
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,General Macarthur,PH0802607,182.9908,5051,1725,746,262103.6,139518.1,83323.8,9.43,10,4,10,0,0,0,0,10,0.0,1.0,1725
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Special Geographic Area,PH19099,Special Geographic Area - Midsayap I,PH1909903,46.2604,3130,1719,731,190366.8,133055.5,73146.7,37.16,8,1,8,0,0,0,0,8,0.0,1.0,1719
Region VII (Central Visayas),PH07,Cebu,PH07022,Ronda,PH0702239,44.3867,4385,1709,731,300336.5,166257.5,94177.6,38.5,17,2,16,0,0,0,0,16,0.0,1.0,1709
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Quirino (Angkaki),PH0102915,182.4174,6301,1708,479,374787.4,174985.1,73462.7,9.36,12,3,12,0,0,0,0,12,0.0,1.0,1708
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Allen,PH0804801,44.4676,7829,1897,568,486343.7,197157.7,89419.0,42.66,11,4,10,1,1,0,0,9,0.1,0.9,1707
Region VII (Central Visayas),PH07,Bohol,PH07012,Corella,PH0701215,34.7593,4852,1911,924,347359.3,218037.3,135303.3,54.98,9,2,9,1,0,0,1,8,0.1111,0.8889,1699
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Pata,PH1906610,57.9787,2540,1698,858,122357.2,98377.2,61575.8,29.29,5,2,5,0,0,0,0,5,0.0,1.0,1698
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Biliran,PH0807802,61.7756,7135,2117,937,494482.0,266055.8,158137.6,34.27,5,2,5,1,0,1,0,4,0.2,0.8,1694
Cordillera Administrative Region (CAR),PH14,Ifugao,PH14027,Asipulo,PH1402711,205.3994,5668,1687,401,284816.3,132538.1,48783.8,8.21,20,6,20,0,0,0,0,20,0.0,1.0,1687
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,San Francisco (Anao-Aon),PH1606719,55.701,4157,1681,842,276638.5,161350.6,99733.6,30.18,11,1,11,0,0,0,0,11,0.0,1.0,1681
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Butig,PH1903607,470.2725,3914,2231,1023,267976.9,183925.6,105108.2,4.74,4,2,4,1,0,1,0,3,0.25,0.75,1673
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Kawayan,PH0807806,70.1998,7218,1664,654,396550.3,163601.6,90897.8,23.7,8,2,8,0,0,0,0,8,0.0,1.0,1664
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Talisayan,PH1004325,56.045,5178,1751,775,339374.2,173750.3,101434.3,31.24,20,2,20,1,0,1,0,19,0.05,0.95,1663
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Sulat,PH0802622,127.6409,5111,1936,880,319495.1,179164.5,104766.1,15.17,7,2,7,1,0,1,0,6,0.1429,0.8571,1659
Mimaropa Region,PH17,Romblon,PH17059,Santa Fe,PH1705915,56.526,5370,1659,667,326552.6,160529.0,87885.1,29.35,12,2,12,0,0,0,0,12,0.0,1.0,1659
Region VI (Western Visayas),PH06,Iloilo,PH06030,Bingawan,PH0603010,57.1891,5292,1655,706,326070.1,170499.7,97925.3,28.94,7,2,7,0,0,0,0,7,0.0,1.0,1655
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Guindulungan,PH1908825,113.291,3964,2474,1144,224462.1,177384.8,108266.0,21.84,6,3,6,2,0,2,0,4,0.3333,0.6667,1649
Region IV-A (Calabarzon),PH04,Quezon,PH04056,General Nakar,PH0405617,1321.994,6502,1648,449,420232.0,184493.2,77083.7,1.25,10,2,10,0,0,0,0,10,0.0,1.0,1648
Region VI (Western Visayas),PH06,Antique,PH06006,Tibiao,PH0600617,98.9225,5011,1727,712,403293.8,214289.0,117412.9,17.46,21,2,21,1,0,1,0,20,0.0476,0.9524,1645
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Salcedo (Baugen),PH0102916,82.9661,6022,1644,496,446633.1,206114.2,88165.5,19.82,9,3,9,0,0,0,0,9,0.0,1.0,1644
Region VI (Western Visayas),PH06,Capiz,PH06019,Dao,PH0601902,74.7919,8175,2958,1325,531610.9,289759.6,169782.8,39.55,18,3,18,8,2,6,0,10,0.4444,0.5556,1643
Mimaropa Region,PH17,Palawan,PH17053,Araceli,PH1705303,174.1191,5072,1638,690,268056.9,136063.6,72959.1,9.41,16,3,16,0,0,0,0,16,0.0,1.0,1638
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Tapul,PH1906614,56.29,2564,1636,741,118203.0,93016.4,53767.4,29.06,5,2,5,0,0,0,0,5,0.0,1.0,1636
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Almeria,PH0807801,50.7528,5780,1626,717,362724.1,186135.9,117067.1,32.04,7,2,7,0,0,0,0,7,0.0,1.0,1626
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Pilar,PH1606716,74.4246,5077,2229,1061,264463.1,158483.7,91773.1,29.95,11,1,11,3,1,1,1,8,0.2727,0.7273,1621
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Carmen,PH1606806,158.1661,3884,1621,827,279352.1,168972.6,103659.0,10.25,11,1,11,0,0,0,0,11,0.0,1.0,1621
Region II (Cagayan Valley),PH02,Isabela,PH02031,Palanan,PH0203121,374.3852,5931,1706,337,341766.8,152824.2,51277.7,4.56,19,2,19,1,1,0,0,18,0.0526,0.9474,1616
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Pakil,PH0403420,47.4644,6523,1763,549,506591.9,227515.8,101129.5,37.14,17,3,12,1,1,0,0,11,0.0833,0.9167,1616
Mimaropa Region,PH17,Palawan,PH17053,Magsaysay,PH1705314,47.5316,4141,1610,715,262715.8,150657.1,83014.3,33.87,12,1,12,0,0,0,0,12,0.0,1.0,1610
Region VI (Western Visayas),PH06,Antique,PH06006,San Remigio,PH0600614,394.655,7271,1662,540,401536.0,153092.9,77039.7,4.21,30,2,30,1,0,1,0,29,0.0333,0.9667,1607
Cordillera Administrative Region (CAR),PH14,Abra,PH14001,La Paz,PH1400108,52.6226,7463,1875,548,495778.8,228671.9,98570.5,35.63,7,2,7,1,1,0,0,6,0.1429,0.8571,1607
Region VI (Western Visayas),PH06,Antique,PH06006,Laua-an,PH0600609,159.858,4913,1719,800,400592.1,226271.1,145601.7,10.75,16,2,15,1,0,0,1,14,0.0667,0.9333,1604
Region III (Central Luzon),PH03,Aurora,PH03077,Dilasag,PH0307703,495.4801,8459,1602,386,500025.3,192025.4,76126.9,3.23,10,1,10,0,0,0,0,10,0.0,1.0,1602
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Calamba,PH1004204,64.0757,2499,1733,944,276405.9,231123.4,157962.5,27.05,28,4,26,2,1,0,1,24,0.0769,0.9231,1600
Region XIII (Caraga),PH16,Dinagat Islands,PH16085,Dinagat,PH1608503,27.961,4303,1724,831,239892.5,140578.3,83584.0,61.66,12,3,12,1,1,0,0,11,0.0833,0.9167,1580
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,San Esteban,PH0102918,17.4131,5114,1578,593,357636.3,198514.1,100141.7,90.62,11,2,10,0,0,0,0,10,0.0,1.0,1578
Mimaropa Region,PH17,Romblon,PH17059,San Agustin,PH1705911,102.1828,5086,1576,614,334581.3,167064.9,87997.2,15.42,17,2,17,0,0,0,0,17,0.0,1.0,1576
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Panglima Estino (New Panamao),PH1906616,33.451,2480,1573,734,140267.8,107492.9,60652.0,47.02,9,1,9,0,0,0,0,9,0.0,1.0,1573
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,San Policarpo,PH0802621,70.4063,5163,1569,595,246313.7,115984.8,65715.7,22.28,9,5,9,0,0,0,0,9,0.0,1.0,1569
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Sapang Dalaga,PH1004213,121.7521,2639,1569,715,181648.3,137380.2,83142.5,12.89,6,2,6,0,0,0,0,6,0.0,1.0,1569
Region VII (Central Visayas),PH07,Cebu,PH07022,Tudela,PH0702253,33.1247,5092,1790,802,279646.5,153698.5,89260.7,54.04,8,3,8,1,0,1,0,7,0.125,0.875,1566
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Suyo,PH0102932,163.6288,6211,1561,444,386284.2,163695.8,64349.1,9.54,10,2,10,0,0,0,0,10,0.0,1.0,1561
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Mutia,PH0907208,88.5036,2797,1559,679,196084.1,142339.9,84171.8,17.62,11,1,11,0,0,0,0,11,0.0,1.0,1559
Region VI (Western Visayas),PH06,Antique,PH06006,Anini-y,PH0600601,50.7628,5125,1781,758,361250.0,194644.2,108110.4,35.08,9,2,8,1,0,0,1,7,0.125,0.875,1558
Region VII (Central Visayas),PH07,Bohol,PH07012,San Isidro,PH0701237,59.2483,4306,1552,646,280276.9,149810.1,78711.9,26.19,15,2,15,0,0,0,0,15,0.0,1.0,1552
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,Llorente,PH0802613,285.7594,6360,1764,697,335382.8,155272.9,89845.9,6.17,8,3,8,1,1,0,0,7,0.125,0.875,1544
Region VII (Central Visayas),PH07,Bohol,PH07012,Sevilla,PH0701239,55.7771,4343,1543,603,292531.3,157936.8,81609.5,27.66,5,2,5,0,0,0,0,5,0.0,1.0,1543
Region VIII (Eastern Visayas),PH08,Eastern Samar,PH08026,San Julian,PH0802620,140.3137,4480,1543,706,246572.7,129094.8,76278.3,11.0,5,2,5,0,0,0,0,5,0.0,1.0,1543
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Matag-ob,PH0803733,70.1997,5816,1540,555,323657.9,146708.9,76027.3,21.94,10,4,10,0,0,0,0,10,0.0,1.0,1540
Cordillera Administrative Region (CAR),PH14,Mountain Province,PH14044,Natonin,PH1404405,359.3126,6855,1604,347,286478.5,119975.1,43047.6,4.46,17,4,17,1,1,0,0,16,0.0588,0.9412,1510
Region VII (Central Visayas),PH07,Cebu,PH07022,Malabuyoc,PH0702229,82.022,5421,1508,563,345198.8,161893.2,86327.5,18.39,18,3,16,0,0,0,0,16,0.0,1.0,1508
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Calayan,PH0201509,502.7156,6389,1632,384,304867.2,135855.4,51996.6,3.25,13,2,13,1,0,1,0,12,0.0769,0.9231,1506
Cordillera Administrative Region (CAR),PH14,Kalinga,PH14032,Balbalan,PH1403201,631.9749,8788,1604,295,419529.8,145308.1,43532.1,2.54,16,2,16,1,1,0,0,15,0.0625,0.9375,1504
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,San Emilio,PH0102917,151.4479,5397,1503,422,336002.3,163166.0,70947.1,9.92,7,2,7,0,0,0,0,7,0.0,1.0,1503
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Luisiana,PH0403412,74.9742,7316,2784,1176,579663.1,341722.7,202431.9,37.13,14,3,13,6,1,5,0,7,0.4615,0.5385,1499
Region VII (Central Visayas),PH07,Bohol,PH07012,Dimiao,PH0701220,54.3805,3875,1631,746,322041.5,193975.1,115368.5,29.99,13,3,12,1,0,0,1,11,0.0833,0.9167,1495
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,Akbar,PH1900708,30.8109,2453,1661,906,149015.6,121303.1,79041.6,53.91,10,1,10,1,0,0,1,9,0.1,0.9,1495
Mimaropa Region,PH17,Romblon,PH17059,Cajidiocan,PH1705903,127.4938,4879,1724,760,349546.0,190449.8,105996.4,13.52,15,2,15,2,1,1,0,13,0.1333,0.8667,1494
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Mapun (Cagayan de Tawi-Tawi),PH1907003,71.1996,7535,1490,43,449390.8,153711.0,12605.4,20.93,15,2,15,0,0,0,0,15,0.0,1.0,1490
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Cavinti,PH0403407,116.0499,6289,1737,410,514191.3,227242.1,89951.2,14.97,14,1,14,2,0,1,1,12,0.1429,0.8571,1489
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Bayang,PH1903604,21.4558,2352,1484,677,184973.7,137016.1,76674.7,69.17,4,1,4,0,0,0,0,4,0.0,1.0,1484
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Banayoyo,PH0102902,25.094,4335,1480,523,319723.6,179584.4,87709.9,58.98,7,2,7,0,0,0,0,7,0.0,1.0,1480
